,no_reuse,pair_index1,pair_index2,pair_date1,pair_date2,pair_text1,pair_text2
27,5,119,400,1860-11-10-seq-4.txt,1861-03-30-seq-3.txt,choice wine liquor cigar iio good servant every attention pay guest render sojourn agreeable,choice wine liqvos rnd cigar he lift   good servant every attention pay   guest render sojourn agreeable
28,3,123,182,1860-12-01-seq-3.txt,1861-01-19-seq-3.txt,choice wine liquor cigar lie   good servant ami every attention pay I guest render sojourn agreeable j,choice wine liquor cigar lie good servant every attention paic guest render sojourn agreeable
29,3,123,212,1860-12-01-seq-3.txt,1860-11-17-seq-3.txt,choice wine liquor cigar lie   good servant ami every attention pay I guest render sojourn agreeable j,choice wine liquor cigar lie good servant every attention bo pay guest render sojourn agreeable
30,3,123,387,1860-12-01-seq-3.txt,1860-11-24-seq-3.txt,choice wine liquor cigar lie   good servant ami every attention pay I guest render sojourn agreeable j,choice wine liquor cigar lie good servant every attention pay bis guest render sojourn agreeable
31,5,138,168,1860-09-22-seq-3.txt,1861-05-25-seq-3.txt,hoice wine liquor nod cigar mo ood servant every attention bo pay guest render sojourn agreeable,choice wine liquor aud cigar he good servant every attention bo pay guest render sojourn agreeable
32,5,138,212,1860-09-22-seq-3.txt,1860-11-17-seq-3.txt,hoice wine liquor nod cigar mo ood servant every attention bo pay guest render sojourn agreeable,choice wine liquor cigar lie good servant every attention bo pay guest render sojourn agreeable
33,4,138,260,1860-09-22-seq-3.txt,1861-02-02-seq-3.txt,hoice wine liquor nod cigar mo ood servant every attention bo pay guest render sojourn agreeable,choice wine liquor cigar ke 1ms good servant nnd every attention bo pay guest render sojourn agreeable
34,3,138,409,1860-09-22-seq-3.txt,1861-01-12-seq-3.txt,hoice wine liquor nod cigar mo ood servant every attention bo pay guest render sojourn agreeable,choice wine liquor cigar he hns good servant every attention bo pay guest render soiourn airreeahle
35,5,138,414,1860-09-22-seq-3.txt,1861-06-22-seq-3.txt,hoice wine liquor nod cigar mo ood servant every attention bo pay guest render sojourn agreeable,choice wine liquor cigar ho lin good servant every attention bo pay guest render sojourn agreeable
36,3,165,355,1860-12-22-seq-3.txt,1860-08-25-seq-3.txt,choice wine liquor cigar ho good servant every attention pay j guest render sojourn agreeable,choice wine 1iquors cigar ho good servant every attention pay bis guest render tlieir nojourn agreeable
37,5,165,358,1860-12-22-seq-3.txt,1860-10-27-seq-3.txt,choice wine liquor cigar ho good servant every attention pay j guest render sojourn agreeable,choice wine liquor cigar ho good servant every attention bo pay guest renti sojourn agreeable
38,3,165,385,1860-12-22-seq-3.txt,1861-05-18-seq-3.txt,choice wine liquor cigar ho good servant every attention pay j guest render sojourn agreeable,choice wine liquor cigar ho good servant nnd every attention pay guest render sojourn agrcenlde
39,6,168,212,1861-05-25-seq-3.txt,1860-11-17-seq-3.txt,choice wine liquor aud cigar he good servant every attention bo pay guest render sojourn agreeable,choice wine liquor cigar lie good servant every attention bo pay guest render sojourn agreeable
40,4,168,260,1861-05-25-seq-3.txt,1861-02-02-seq-3.txt,choice wine liquor aud cigar he good servant every attention bo pay guest render sojourn agreeable,choice wine liquor cigar ke 1ms good servant nnd every attention bo pay guest render sojourn agreeable
41,3,168,358,1861-05-25-seq-3.txt,1860-10-27-seq-3.txt,choice wine liquor aud cigar he good servant every attention bo pay guest render sojourn agreeable,choice wine liquor cigar ho good servant every attention bo pay guest renti sojourn agreeable
42,4,168,409,1861-05-25-seq-3.txt,1861-01-12-seq-3.txt,choice wine liquor aud cigar he good servant every attention bo pay guest render sojourn agreeable,choice wine liquor cigar he hns good servant every attention bo pay guest render soiourn airreeahle
43,6,168,414,1861-05-25-seq-3.txt,1861-06-22-seq-3.txt,choice wine liquor aud cigar he good servant every attention bo pay guest render sojourn agreeable,choice wine liquor cigar ho lin good servant every attention bo pay guest render sojourn agreeable
44,3,176,403,1861-08-03-seq-6.txt,1860-09-15-seq-3.txt,choice wine liquor 1 cigar ho good servant every attention ill bo pay bis guest render sojourn agreeable,choice wine liwiorb cigar ho good servant ani every attention bo pay bis guest render sojourn agreeable
45,3,180,260,1862-03-15-seq-2.txt,1861-02-02-seq-3.txt,cholpo wine liquor cigar ho lin good servant nnd every attention bo pay lo guest render std ou rn agreeable,choice wine liquor cigar ke 1ms good servant nnd every attention bo pay guest render sojourn agreeable
46,3,180,414,1862-03-15-seq-2.txt,1861-06-22-seq-3.txt,cholpo wine liquor cigar ho lin good servant nnd every attention bo pay lo guest render std ou rn agreeable,choice wine liquor cigar ho lin good servant every attention bo pay guest render sojourn agreeable
47,5,182,212,1861-01-19-seq-3.txt,1860-11-17-seq-3.txt,choice wine liquor cigar lie good servant every attention paic guest render sojourn agreeable,choice wine liquor cigar lie good servant every attention bo pay guest render sojourn agreeable
